benchmark,model_variant,pair_label,trajectory_similarity,n,fraction_all,pct_all,fraction_comparable,pct_comparable
kramabench,openai_gpt-5-mini,dii_vs_iii,not_comparable,28,28/83,33.7,,
kramabench,openai_gpt-5-mini,dii_vs_iii,pending,55,55/83,66.3,55/55,100.0
kramabench,openai_gpt-5-mini,nii_vs_iii,not_comparable,9,9/83,10.8,,
kramabench,openai_gpt-5-mini,nii_vs_iii,pending,74,74/83,89.2,74/74,100.0
kramabench,openai_gpt-5.4-nano,dii_vs_iii,not_comparable,1,1/83,1.2,,
kramabench,openai_gpt-5.4-nano,dii_vs_iii,pending,82,82/83,98.8,82/82,100.0
kramabench,openai_gpt-5.4-nano,nii_vs_iii,pending,83,83/83,100.0,83/83,100.0
lakeqa,openai_gpt-5-mini,dii_vs_iii,closely_resembles,64,64/135,47.4,64/121,52.9
lakeqa,openai_gpt-5-mini,dii_vs_iii,misses_crucial_steps,16,16/135,11.9,16/121,13.2
lakeqa,openai_gpt-5-mini,dii_vs_iii,not_comparable,14,14/135,10.4,,
lakeqa,openai_gpt-5-mini,dii_vs_iii,partially_resembles,41,41/135,30.4,41/121,33.9
lakeqa,openai_gpt-5-mini,nii_vs_iii,closely_resembles,70,70/135,51.9,70/125,56.0
lakeqa,openai_gpt-5-mini,nii_vs_iii,misses_crucial_steps,15,15/135,11.1,15/125,12.0
lakeqa,openai_gpt-5-mini,nii_vs_iii,not_comparable,10,10/135,7.4,,
lakeqa,openai_gpt-5-mini,nii_vs_iii,not_similar,2,2/135,1.5,2/125,1.6
lakeqa,openai_gpt-5-mini,nii_vs_iii,partially_resembles,37,37/135,27.4,37/125,29.6
lakeqa,openai_gpt-5-mini,nii_vs_iii,resembles_completely,1,1/135,0.7,1/125,0.8
lakeqa,openai_gpt-5.4-nano,dii_vs_iii,closely_resembles,35,35/135,25.9,35/135,25.9
lakeqa,openai_gpt-5.4-nano,dii_vs_iii,misses_crucial_steps,38,38/135,28.1,38/135,28.1
lakeqa,openai_gpt-5.4-nano,dii_vs_iii,not_similar,12,12/135,8.9,12/135,8.9
lakeqa,openai_gpt-5.4-nano,dii_vs_iii,partially_resembles,49,49/135,36.3,49/135,36.3
lakeqa,openai_gpt-5.4-nano,dii_vs_iii,resembles_completely,1,1/135,0.7,1/135,0.7
lakeqa,openai_gpt-5.4-nano,nii_vs_iii,closely_resembles,30,30/135,22.2,30/135,22.2
lakeqa,openai_gpt-5.4-nano,nii_vs_iii,misses_crucial_steps,45,45/135,33.3,45/135,33.3
lakeqa,openai_gpt-5.4-nano,nii_vs_iii,not_similar,7,7/135,5.2,7/135,5.2
lakeqa,openai_gpt-5.4-nano,nii_vs_iii,partially_resembles,53,53/135,39.3,53/135,39.3
