path,status,copy_answer,tasks_mini_answer,copy_question,tasks_mini_question
k-3-d-5/task_1.json,REAL_FINAL_ANSWER_CHANGE,1693,Friesland,"Find the NYC high schools that were in the top 8 by overall score every year from 2006-07 through 2010-11. Determine the neighborhoods those schools are located in, identify the earliest bridge connecting that area to N...","Can you first find the neighborhood after which the only NYC high school that was in the top 8 by overall score every year from 2006-2010 is named, then report which province did the person who built the first bridge co..."
k-5-d-2/task_10.json,REAL_FINAL_ANSWER_CHANGE,1653,1724,"Find the New York counties, excluding NYC boroughs, satisfying both criteria: (1) an average rate of being sent back to prison or jail between 38% and 40% across 2018 and 2019, and (2) an average count of traffic crashe...","Find the California cities satisfying both criteria: (1) teeth loss rate above 19% in 2016 reported by the centers for disease control and prevention, and (2) mental health problems above 15% in the in 2017 reported by ..."
k-5-d-2/task_3.json,REAL_FINAL_ANSWER_CHANGE,"Pittsburgh, Pennsylvania",Gulf of Mexico,"What US city had the highest average age-adjusted adult obesity rate in 2016 and 2018? Then, who founded a company sold to JP Morgan to create the corporation that founded this city? Only report the city and state this ...","Among Harris, Hidalgo, Dallas, and Cameron counties in Texas, which two saw the largest percentage decrease in day care home meal reimbursements from 2018-19 to 2020-21? Of those two, which had the higher average child ..."
k-5-d-2/task_4.json,REAL_FINAL_ANSWER_CHANGE,San Antonio Bay,"Pittsburgh, Pennsylvania","Among Brooks, Willacy, Comal, Atascosa, and Victoria counties in Texas, keep those with at least one abuse/neglect-related child fatality and at least three non-abuse/neglect child fatality investigations between 2018 a...","What US city had the highest average age-adjusted adult obesity rate in 2016 and 2018? Then, who founded a company sold to JP Morgan to create the corporation that founded this city? Only report the city and state this ..."
k-5-d-2/task_5.json,REAL_FINAL_ANSWER_CHANGE,1735,San Antonio Bay,"Among DC wards 7 and 8, identify which ward had the higher average 311 service requests from 2019 through 2020. Who represents that ward on the DC Council? This council member earned a graduate degree from a university ...","Among Brooks, Willacy, Comal, Atascosa, and Victoria counties in Texas, keep those with at least one abuse/neglect-related child fatality and at least three non-abuse/neglect child fatality investigations between 2018 a..."
k-5-d-2/task_6.json,REAL_FINAL_ANSWER_CHANGE,99357947,1735,"Gary, Indiana was founded by a corporation created by J. P. Morgan when he merged Federal Steel and National Steel with another company. Who founded that company, where was he based, and what was the average Police Bure...","Among DC wards 7 and 8, identify which ward had the higher average 311 service requests from 2019 through 2020. Who represents that ward on the DC Council? This council member earned a graduate degree from a university ..."
k-5-d-2/task_7.json,REAL_FINAL_ANSWER_CHANGE,Elihu Yale,99357947,"Find the Connecticut counties that satisfy both criteria: (1) more than 200 accidental overdose deaths in 2020, and (2) assignment to a COVID health-service region with a number above 80. Find the largest cities in the ...","Gary, Indiana was founded by a corporation created by J. P. Morgan when he merged Federal Steel and National Steel with another company. Who founded that company, where was he based, and what was the average Police Bure..."
k-5-d-2/task_8.json,REAL_FINAL_ANSWER_CHANGE,Gippeswic,Elihu Yale,"Find the New York counties, excluding NYC boroughs, with average total Medicaid-paid amounts for adult mental health claims between $75 million and $95 million across 2017 and 2018. According to the NY Utility Energy Re...","Two Connecticut counties satisfy both criteria: (1) over 200 accidental drug deaths in 2020, and (2) a COVID-19 health service area number above 80. Find the city in the County with higher accidental drug deaths in 2020..."
k-5-d-2/task_9.json,REAL_FINAL_ANSWER_CHANGE,1724,Gippeswic,"Find the California cities satisfying both criteria: (1) older adults with major tooth loss above 19% in 2016, and (2) adults with frequent poor mental health above 15% in 2017. Find the county that each city is in. The...","Find the New York counties (excluding NYC boroughs) having average adult mental health Medicaid paid claims between $75 million and $95 million across 2017 and 2018. According to the NY Utility Energy Registry, which of..."
k-5-d-3/task_10.json,REAL_FINAL_ANSWER_CHANGE,Ward 5,"Swartekill, New York","First, identify the Washington, DC ward that consistently ranked in the top four for building permits from 2022 to 2024 and had one of the highest crime rates. Among the top candidates, identify the ward that had the mo...","First, identify the Washington, DC ward that consistently ranked in the top four for building permits from 2022 to 2024 and had one of the highest crime rates. Among the top candidates, identify the ward that had the mo..."
k-6-d-2/task_5.json,REAL_FINAL_ANSWER_CHANGE,San Francisco Bay,Pacific Ocean,"Identify a specific California county based on a set of health and housing statistics. The county had an Area Median Income of at least $142,800 in 2022 and $147,900 in 2023. It also had an infants, children and woman a...","Identify a specific California county seat based on a set of health and housing statistics. I'm looking for a county that had an Area Median Income of at least $142,800 in 2022 and $147,900 in 2023. In terms of assistan..."
